Time	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
0	-0.7087955	-0.746408	-0.387848	-0.551401	0.230205	0.637455	1.038781	1.297097	1.230961	1.007527	0.817202	-0.005967	-0.544271	-1.056093	-1.198221	-1.338948	-0.729046
1	-1.0100975	-1.050354	-0.830944	-0.933336	-0.064724	0.416586	0.624467	0.91298	1.306154	0.851291	0.884437	0.500653	0.082149	-0.672252	-0.991269	-1.340917	-0.680887
2	-0.3322645	-0.412518	0.001883	-0.188082	0.441954	0.636217	1.109452	1.254718	1.379372	-0.051119	-0.533236	-0.901544	-1.413799	-1.189632	-1.289336	-1.145151	-0.439186
3	-0.8583815	-0.751303	-0.506988	-0.52854	-0.164625	0.251022	0.479853	0.76449	0.893668	0.744165	0.594795	0.496294	0.146672	-0.542578	-0.809029	-1.091773	-0.659557
4	0.30817	0.115938	0.41532	0.325781	0.600688	0.718743	1.048877	1.335711	1.161726	-0.265331	-1.169912	-1.358073	-1.420894	-1.244607	-0.804391	-0.488679	-0.030681
5	-0.2135325	-0.244639	-0.166451	-0.15243	0.384031	0.618004	0.860664	1.009614	1.053822	0.202137	-0.536622	-0.848605	-1.217547	-1.379913	-1.121156	-0.854371	-0.41229
6	-0.851497	-0.933152	-0.656181	-0.480962	-0.177736	0.469681	1.007054	1.287475	1.15051	0.918648	0.252548	0.13564	-0.423764	-0.861498	-0.805196	-1.127569	-0.109958
7	-0.2046185	-0.252433	-0.092354	-0.070183	0.293953	0.55246	0.84305	1.086746	0.954622	0.062321	-0.515363	-0.711975	-1.109672	-1.226271	-0.936228	-0.88844	-0.491528
8	-0.2520405	-0.121915	-0.062099	-0.238369	0.338871	0.750063	0.862326	1.204127	1.122466	0.53705	0.222576	-0.407852	-0.752657	-1.108991	-0.987684	-0.82798	-0.821861
9	-0.3262385	-0.351953	-0.071551	0.104821	0.498121	0.71962	0.891409	1.145679	0.849388	0.338439	-0.008667	-0.635851	-0.715101	-0.627194	-0.65215	-0.530318	-0.274082
10	-0.592552	-0.481477	-0.64252	-0.31152	0.114263	0.923613	1.201786	1.364052	1.030587	0.247816	-0.163971	-0.605293	-0.59455	-0.810352	-0.589917	-0.607139	-0.397756
11	-0.0441725	-0.071369	0.170958	0.211723	0.818788	1.008393	1.225675	1.0364	0.546614	-0.064195	-0.50297	-0.770365	-0.82708	-0.733979	-0.368608	-0.174018	-0.067995
12	-0.4987785	-0.552884	-0.250651	-0.371366	0.015406	0.07955	0.63979	0.879731	0.688031	0.567833	0.374143	0.105256	-0.454669	-1.065319	-1.173812	-1.144345	-0.75404
13	-0.470256	-0.390695	-0.33674	-0.451115	-0.054681	0.312082	0.515797	0.639687	0.88195	0.667727	0.70356	0.244442	0.025557	-0.554896	-0.780992	-0.945457	-0.526174
14	-0.3311965	-0.409773	-0.401591	-0.284203	0.055059	0.11545	0.518113	0.624255	0.843622	0.816442	0.483873	0.365352	0.073223	-0.357943	-0.615047	-0.49232	-0.467048
15	-0.208949	-0.14012	-0.15787	-0.074728	0.19656	0.434092	0.662419	0.923412	0.717023	0.129399	-0.308224	-0.530173	-0.966163	-0.786324	-0.841017	-0.708969	-0.45907
16	-0.4494835	-0.53759	-0.148014	-0.455824	0.112041	-0.05538	0.411323	0.744573	0.821099	0.490509	0.370146	0.170896	-0.274337	-0.554407	-1.208083	-1.011014	-0.772012
17	-0.1714765	-0.298739	-0.251568	0.000647	0.322348	0.450723	0.72776	1.112126	1.03038	0.90682	0.701975	0.496079	0.028737	-0.314369	-0.517313	-0.912891	-0.943212
18	0.479673	0.233562	0.472711	-0.026339	-0.285964	-0.496698	-0.959437	-0.749605	-1.173242	-0.774237	-0.597184	-0.378532	0.148635	0.497335	0.508497	1.177524	0.647338
19	-0.696535	-0.760687	-0.563785	-0.344766	0.384666	0.62412	1.112351	1.276975	1.275006	0.914641	0.810629	0.004973	-0.674646	-1.157624	-1.369682	-1.357456	-1.021127
20	-0.7466715	-0.737104	-0.513312	-0.250132	-0.10911	0.083847	0.515782	0.597072	0.769966	0.814449	0.56597	0.588074	0.06882	-0.214793	-0.495392	-0.497898	-0.504482
21	-0.296468	-0.598004	-0.024552	-0.264509	0.510416	0.659758	1.334385	1.568481	1.460742	0.221806	-0.747908	-0.955544	-1.678629	-1.088825	-1.520645	-1.008613	-0.499673
22	-0.134419	0.10888	0.403258	0.457878	0.56237	0.705371	0.815328	1.03948	1.020413	0.617674	0.111413	-0.406023	-0.707155	-0.884452	-0.733253	-0.461518	-0.364294
23	-0.609988	-0.497222	-0.36863	-0.533481	0.293611	0.280466	0.485511	0.765747	0.982119	0.486884	0.107505	-0.079126	-0.32237	-0.610667	-0.593587	-1.190451	-0.513273
24	0.01791	-0.058487	0.261801	-0.051501	0.3846	0.474758	0.643753	0.469271	0.67967	0.425384	0.47985	-0.190895	-0.4764	-0.816853	-0.649149	-0.525994	-0.270788
25	0.418649	0.17605	0.396538	0.231784	0.789592	0.838886	1.104066	1.424586	1.140441	-0.286489	-1.240734	-1.772645	-1.923161	-1.675227	-0.828716	-0.385846	-0.355231
26	-0.275173	-0.359773	-0.48202	-0.385447	-0.345242	-0.152225	0.105361	0.291835	0.393525	0.283302	0.485899	0.051745	-0.299736	-0.507566	-0.90952	-0.640996	-0.446973
27	-0.3479535	-0.449582	-0.375338	-0.146847	-0.044303	0.148474	0.466352	0.23835	0.640011	0.363938	0.378319	0.277496	0.18951	-0.236908	-0.203854	-0.527162	-0.583986
28	-0.360301	-0.369154	0.041367	-0.392386	0.01521	0.209251	0.449912	0.520894	0.40913	0.00886	-0.060365	-0.443272	-0.862245	-1.162579	-0.861965	-0.669855	-0.294077
29	-0.175269	-0.349104	-0.242305	-0.241189	-0.025161	0.288468	0.770728	0.739723	1.018209	-0.002686	-0.234988	-0.683945	-0.805937	-0.968066	-0.73662	-0.543984	-0.264662
30	-0.2441805	-0.072589	-0.21959	-0.032741	-0.153083	-0.092498	0.277892	0.4634	0.684538	0.340894	0.121423	-0.076268	-0.230756	-0.563407	-0.756535	-1.019915	-0.393241
31	-0.5924755	-0.552268	-0.551945	-0.573622	-0.373327	0.062459	0.346264	0.694045	0.643494	0.447745	0.238003	-0.041573	-0.324364	-0.642499	-0.950079	-0.574571	-0.681198
32	-0.6009115	-0.683675	-0.649275	-0.003821	-0.174353	0.307856	0.424452	0.595468	0.363605	0.343482	0.149109	0.335269	-0.095739	-0.407003	-0.688394	-0.681373	-0.507471
33	-0.562814	-0.045369	-0.238892	-0.381493	-0.19965	0.370423	0.182973	0.695625	0.650284	0.415728	0.08561	0.335089	0.002449	-0.625651	-0.476549	-0.715958	-0.344026
34	0.255383	-0.019423	-0.092572	-0.189855	-0.4677	-0.331496	-0.649647	-0.627474	-0.362726	-0.532644	-0.139676	0.01892	0.496766	1.021544	0.656878	1.026148	0.390868
35	-0.5170165	-0.354843	-0.055522	-0.343532	-0.007503	0.202052	0.680299	0.813077	0.808469	0.406179	0.437421	-0.221273	-0.25207	-0.536944	-0.564272	-0.876416	-0.302308
36	-0.5084385	-0.24662	-0.434941	-0.125529	-0.081665	0.126539	0.274206	0.491991	0.655978	0.309674	0.238998	0.067823	-0.081944	-0.348961	-0.519711	-0.468027	-0.112113
37	-0.1228315	-0.179484	-0.097499	0.006882	0.090797	0.147489	0.578597	0.581703	0.808884	0.286233	0.155838	-0.369677	-0.490763	-0.765179	-0.815112	-0.551853	-0.392207
38	-0.275229	-0.163003	-0.23087	-0.280323	-0.269818	0.381611	0.342161	0.718974	0.581761	0.748297	0.51283	0.153699	-0.358098	-0.261029	-0.744644	-0.62944	-0.461009
39	-0.126267	0.114311	0.23848	0.017367	0.213552	0.326172	0.407434	0.771978	0.608113	0.270344	0.06863	-0.109419	-0.660974	-0.473578	-0.612124	-0.546	-0.071482
40	-0.389159	-0.563327	-0.157347	-0.075519	0.327363	0.791183	1.262098	1.262142	1.149911	0.814589	0.503116	-0.625587	-0.763618	-1.157008	-1.178237	-1.010848	-0.388348
41	-0.3696455	-0.282362	-0.00834	-0.06996	0.570619	0.994792	1.545273	1.239928	1.241462	0.457634	-0.111165	-0.594691	-1.093334	-1.520401	-1.15816	-0.927982	-0.454625
42	0.514082	0.636145	0.66584	0.216126	0.150169	-0.083792	-0.489485	-0.640548	-0.703117	-0.516052	-0.251057	-0.301935	0.068147	0.440457	0.618825	0.574708	0.558578
43	-0.5086905	-0.299778	-0.299553	-0.10967	0.176659	0.707874	0.826747	1.078941	0.877749	0.243197	-0.013251	-0.113601	-0.392777	-0.473988	-0.460795	-0.628172	-0.335792
44	0.441167	0.244421	0.331013	-0.026803	-0.15963	-0.581414	-0.486471	-0.871861	-0.539277	-0.559596	-0.372613	-0.016567	0.338812	0.40943	0.65929	0.72102	0.257026
